	Source file	DateTime	Date	Time	Duration(s)	Comments	Total points	Selection type	Components	Beam_Seconds	Beam_Seconds_Int2SE	U238_V	U238_V_Int2SE	Th232_V	Th232_V_Int2SE	U234_cps	U234_cps_Int2SE	Th230_cps	Th230_cps_Int2SE	U234_U238	U234_U238_Int2SE	Th230_U238	Th230_U238_Int2SE	Th232_U238	Th232_U238_Int2SE	Th_ppm	Th_ppm_Int2SE	U_ppm	U_ppm_Int2SE	U234_U238_CORR	U234_U238_CORR_Int2SE	Th230_U238_CORR	Th230_U238_CORR_Int2SE	Th232_U238_CORR	Th232_U238_CORR_Int2SE
GPR_3	Th-U laser_long.FIN_	21/03/2018 (4) 06:35:31.12	21/03/2018 (4)	06:35:31.12	110.58	GPR(3)	26	Normal	1	-3968	13	0.0274	0.0012	0.00274	0.00011	133.6	4.6	37.3	1.6	1.449	0.029	1.292	0.038	0.1001	0.0027	0.0888	0.0037	0.870	0.038	1.417	0.028	1.434	0.042	0.03340	0.00089
GPR_4	Th-U laser_long.FIN_	21/03/2018 (4) 06:38:43.82	21/03/2018 (4)	06:38:43.82	110.61	GPR(4)	27	Normal	1	-3777	13	0.00930	0.00021	0.00042	0.00036	42.1	1.6	7.06	0.48	1.323	0.036	0.718	0.043	0.045	0.037	0.014	0.012	0.2958	0.0067	1.293	0.036	0.797	0.048	0.015	0.012
																																			
A_0	Th-U laser_long.FIN_	21/03/2018 (4) 06:42:20.95	21/03/2018 (4)	06:42:20.95	116.93	A_1	27	Normal	1	-3557	13	0.0600	0.0044	0.0675	0.0053	317	25	105.4	8.5	1.544	0.026	1.661	0.036	1.126	0.010	2.19	0.17	1.91	0.14	1.508	0.025	1.844	0.040	0.3756	0.0034
A_1	Th-U laser_long.FIN_	21/03/2018 (4) 06:45:39.95	21/03/2018 (4)	06:45:39.95	116.72	A(1)	28	Normal	1	-3357	13	0.0439	0.0034	0.0226	0.0025	265	21	96.7	7.6	1.763	0.034	2.098	0.068	0.505	0.020	0.733	0.080	1.40	0.11	1.722	0.034	2.331	0.075	0.1685	0.0068
A_2	Th-U laser_long.FIN_	21/03/2018 (4) 06:48:58.81	21/03/2018 (4)	06:48:58.81	116.74	A(2)	28	Normal	1	-3159	13	0.0359	0.0028	0.00241	0.00031	195	16	55.3	5.5	1.588	0.019	1.451	0.051	0.0660	0.0044	0.078	0.010	1.140	0.089	1.551	0.018	1.612	0.057	0.0220	0.0015
A_3	Th-U laser_long.FIN_	21/03/2018 (4) 06:52:17.13	21/03/2018 (4)	06:52:17.13	116.48	A(3)	27	Normal	1	-2960	13	0.0228	0.0012	0.000290	0.000039	111.8	7.5	23.9	3.2	1.430	0.040	0.983	0.094	0.0133	0.0019	0.0094	0.0013	0.725	0.038	1.396	0.039	1.09	0.10	0.00443	0.00065
A_4	Th-U laser_long.FIN_	21/03/2018 (4) 06:55:35.25	21/03/2018 (4)	06:55:35.25	116.76	A(4)	27	Normal	1	-2762	13	0.0130	0.0012	0.0000127	0.0000064	53.0	5.8	10.68	0.96	1.166	0.031	0.796	0.051	0.00095	0.00049	0.00041	0.00021	0.415	0.037	1.139	0.030	0.886	0.056	0.00032	0.00016
A_5	Th-U laser_long.FIN_	21/03/2018 (4) 06:58:54.14	21/03/2018 (4)	06:58:54.14	116.61	A(5)	28	Normal	1	-2562	13	0.00690	0.00047	0.00013	0.00010	27.4	2.2	5.43	0.75	1.159	0.040	0.736	0.076	0.018	0.014	0.0043	0.0034	0.219	0.015	1.132	0.039	0.819	0.085	0.0061	0.0047
																																			
